Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win/Loss (Fighter1),Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Macy Chiasson,Pannie Kianzad,Women's Bantamweight,SUB Rear Naked Choke,1,3:54,Win,77%,13,10,3,0,3.53,44%,2.53,46%,2.38,37%,62%,0.5,68%,25,17,8,0,4.74,49%,3.67,53%,0.46,33%,66%,0.1
Gerald Meerschaert,Bryan Barberena,Middleweight,SUB Rear Naked Choke,2,4:23,Win,68%,53,36,17,0,3.18,45%,3.37,53%,2.17,38%,34%,1.6,60%,30,18,12,0,5.35,48%,4.59,44%,0.13,22%,50%,0.3
Mike Davis,Natan Levy,Lightweight,SUB Arm Triangle,2,1:43,Win,100%,2,2,0,0,0,0%,0,0%,0,0%,0%,0,80%,10,8,2,0,3.7,52%,3.19,58%,5.03,58%,41%,0.5
Chelsea Chandler,Josiane Nunes,Women's Bantamweight,U-DEC,3,5:00,Win,75%,8,6,2,0,3.45,45%,3.09,49%,1.31,60%,33%,0,83%,12,10,2,0,5.99,44%,5.25,53%,0,0%,58%,0
Jafel Filho,Ode Osbourne,Flyweight,SUB Rear Naked Choke,1,4:27,Win,84%,19,16,3,0,2.36,41%,2,47%,1.77,33%,55%,2.6,63%,19,12,7,0,3.46,38%,4.44,44%,1.27,27%,64%,0.2
Danny Silva,Josh Culibao,Featherweight,S-DEC,3,5:00,Win,90%,10,9,1,0,8.3,58%,9.47,59%,3,50%,100%,0.5,73%,15,11,3,1,3.2,42%,3.24,56%,0,0%,67%,0.3
Jaqueline Amorim,Cory McKenna,Women's Strawweight,SUB Armbar,1,1:38,Win,89%,9,8,1,0,3.33,52%,1.85,62%,1.48,23%,0%,5.4,73%,11,8,3,0,3,40%,3.19,48%,2.22,58%,71%,0.4
Thiago Moises,Mitch Ramirez,Lightweight,KO/TKO Kick,3,0:15,Win,72%,25,18,7,0,2.47,40%,4.19,55%,1.64,44%,56%,1.3,80%,10,8,2,0,2.37,42%,3.34,36%,0.91,100%,0%,0
Chad Anheliger,Charalampos Grigoriou,Bantamweight,U-DEC,3,5:00,Win,65%,20,13,7,0,3.6,45%,3.11,53%,0.82,30%,42%,0.6,67%,12,8,4,0,2.13,40%,5.56,46%,3.75,80%,100%,0
Sean O'Malley,Marlon Vera,Bantamweight,U-DEC,5,5:00,Win,95%,19,18,1,0,7.63,61%,3.52,62%,0.35,42%,62%,0.3,70%,33,23,9,1,4.31,49%,5.48,50%,0.53,39%,70%,0.9
Dustin Poirier,Benoit Saint Denis,Lightweight,KO/TKO Punch,2,2:32,Win,79%,38,30,8,0,5.45,51%,4.36,53%,1.33,36%,63%,1.4,87%,15,13,2,0,5.7,54%,4.98,42%,4.76,37%,69%,1.5
Michael Page,Kevin Holland,Welterweight,U-DEC,3,5:00,Win,92%,24,22,2,0,3.14,69%,1.6,55%,0.77,25%,66%,0,69%,36,25,11,0,4.24,49%,3.19,50%,0.85,38%,54%,0.6
Jack Della Maddalena,Gilbert Burns,Welterweight,KO/TKO Elbows,3,3:43,Win,89%,19,17,2,0,6.74,53%,4.27,66%,0.21,16%,70%,0.2,76%,29,22,7,0,3.29,48%,3.42,54%,2.24,38%,50%,0.5
Petr Yan,Song Yadong,Bantamweight,U-DEC,3,5:00,Win,77%,22,17,5,0,5.14,53%,4.36,58%,1.73,51%,85%,0.1,72%,29,21,8,0,4.49,43%,3.96,55%,0.66,40%,72%,0.2
Curtis Blaydes,Jailton Almeida,Heavyweight,KO/TKO Punches,2,0:36,Win,82%,22,18,4,0,3.53,50%,1.83,59%,5.72,53%,31%,0,87%,23,20,3,0,2.54,64%,0.74,40%,6.88,59%,75%,2.2
Maycee Barber,Katlyn Cerminara,Women's Flyweight,U-DEC,3,5:00,Win,88%,16,14,2,0,4.7,53%,2.9,54%,1.44,43%,53%,0.1,75%,24,18,6,0,4.58,34%,4.48,62%,0.31,15%,50%,0.3
Mateusz Gamrot,Rafael Dos Anjos,Lightweight,U-DEC,3,5:00,Win,92%,26,24,2,0,3.09,51%,3.07,59%,5.28,35%,90%,0.1,67%,48,32,16,0,3.48,47%,3.21,60%,1.95,35%,55%,0.6
